episode,pio_usd,joint_usd,spot_only_usd,as_only_usd
0,829.9108336864795,574.6043,437.848,137.7923
1,677.3063654184639,531.46277,415.94772,115.80719
2,690.4533526993605,441.14636,340.15283,101.24799
3,726.0341221314645,475.9634,328.74222,144.74437
4,728.095084257703,482.70627,374.87564,109.200134
5,788.0827883761685,429.31622,210.68004,215.61327
6,614.4326126223058,299.55423,209.02316,90.39484
7,615.8610964867221,283.06558,152.92743,131.66922
8,570.978155647861,330.61847,222.67134,110.225075
9,803.3133701071941,584.937,402.92117,181.62979
10,833.630097053147,641.3272,458.56757,183.56557
11,831.0017984483902,649.79407,470.48892,179.54791
12,962.0422154071831,842.6142,631.47925,211.21207
13,859.755809137808,690.9694,515.1887,175.43878
14,798.9061807053813,531.5987,353.74518,178.1922
15,748.6221650080593,521.19836,376.97388,144.37471
16,737.4662949696126,524.9681,384.39734,141.07011
17,665.1889807690717,457.8756,349.22305,109.081406
18,1893.4477419453717,1543.5034,1002.17114,541.6616
19,1302.4374657317921,1106.064,785.3878,320.88058
20,809.61805440476,699.77106,517.2438,183.16333
21,900.2259775562583,777.14264,578.93304,198.59483
22,671.582444059604,589.20404,462.14587,128.19797
23,623.9988071056345,267.1768,149.03375,117.580605
24,749.0832387933438,554.06165,416.29144,139.1005
25,782.2594818440778,635.41907,489.17004,146.9169
26,904.301674326572,631.59607,460.76724,171.6317
27,692.4466343550192,397.66095,292.81754,108.629326
28,561.5437572916321,186.12395,85.48923,98.159164
29,518.5505886287966,193.9002,89.97803,103.31048
30,649.4643601550713,330.26465,134.95317,196.37444
31,839.1096863328675,575.1126,358.66522,220.51045
32,852.3043954469988,660.29474,477.42886,186.64699
33,540.024131121998,265.0958,137.20232,125.80814
34,494.16981122144955,252.832,182.72241,75.855385
35,632.5827070783271,221.31529,153.93063,68.55059
36,918.3430850810662,613.6025,449.82977,165.27383
37,929.2040794009409,875.1333,679.7652,197.53596
38,571.7689288436515,430.2936,338.81918,94.317154
39,486.9577642895856,234.2029,163.33609,71.06356
40,419.26047425448445,140.92458,49.261475,87.79184
41,535.0747821166523,156.67755,48.619457,107.619446
42,412.22688834511285,115.340805,56.694294,59.694397
43,522.7934931337479,173.51346,35.8722,132.92552
44,1010.6811377978327,571.18835,308.283,263.08475
45,829.5919190392185,427.9275,163.06601,263.92584
46,750.9609362056049,389.94376,155.9511,232.53844
47,2077.1886318815814,1403.0239,832.4674,568.6432
48,846.0886852346663,360.83536,191.9936,169.22171
49,607.2580143406825,414.0819,298.30377,116.08225
50,492.2115049827579,243.36198,175.26257,68.93321
51,559.5480024921891,331.24054,244.56076,88.8586
52,902.5800258305205,592.3233,406.7603,184.50339
53,971.5453003905156,653.68787,443.9978,210.49538
54,753.1252658417125,513.1271,372.064,141.84442
55,481.3268109418796,128.49385,75.699974,52.469955
56,526.6189046375735,-177.98341,-247.70609,68.51948
57,761.072529882088,491.20862,346.99554,144.85124
