episode,pio_usd,joint_usd,spot_only_usd,as_only_usd
0,502.73737045184095,124.19122,84.15979,44.695644
1,466.20512968719765,266.45667,140.08394,115.85388
2,392.2870090368088,212.5337,95.146095,122.55275
3,491.16301781165714,275.64163,132.39705,150.00809
4,615.7472620392376,100.57386,26.060291,75.335526
5,877.1480028425777,548.8963,449.9335,100.77687
6,1093.6204671496605,1009.9551,661.1471,347.26505
7,780.1075446808277,530.6562,218.02205,318.6411
8,791.3280674824696,535.22345,242.1491,300.155
9,1621.8868011693053,1235.2296,404.13632,824.84564
10,873.6346638226463,474.40152,267.5396,206.57799
11,535.631800640753,236.16995,102.36308,134.78816
12,458.420776878666,166.8979,112.41929,60.380314
13,733.7966335353935,381.514,289.43243,90.018135
14,782.9251356363206,569.78955,383.88843,185.01906
15,1148.142287003378,1715.717,1474.7966,238.26028
16,695.9259213260234,896.07623,781.3894,111.834984
17,436.8850843559597,153.01158,103.700745,52.66134
18,889.8321958306964,1084.7052,953.1404,126.88996
19,629.7598302832934,469.9157,333.0361,133.1765
20,677.66250689644,733.64575,644.59546,86.022095
21,687.9156098366035,876.1543,801.1574,68.05175
22,597.0512337052984,940.1662,869.74725,66.739746
23,566.152111527941,313.16653,173.63504,127.002174
24,708.0218238238971,323.1971,151.21043,160.0049
25,943.2831455912409,606.22797,498.85962,98.00558
26,629.365514451343,351.9308,257.87936,89.27694
27,540.9326480843113,350.204,288.87186,61.70988
28,697.7494737852751,745.3678,704.89886,35.693825
29,474.91080276935986,315.98157,255.86072,57.481834
30,557.6524159712528,255.0469,156.79868,96.42785
31,460.5388068631492,181.81276,125.86515,52.237675
32,601.1604095425621,822.1689,781.82544,34.965073
33,435.0810396928559,77.963295,35.651234,51.306545
34,18503.634800122116,11856.4,9619.368,2238.8386
35,37668.789915774265,34785.777,2296.0554,32492.523
36,10905.161941173948,7987.448,123.10778,7861.3022
37,1013.9574833948213,74.258934,-131.03001,200.0079
38,773.0082654458322,257.478,177.12036,80.17316
39,374.6697923618465,117.792244,58.065308,69.17631
40,405.2702309381237,115.02683,68.47824,60.411594
41,411.01172310389506,76.15111,36.348248,40.30836
42,350.3715756744641,103.30303,50.3183,57.606255
