episode,pio_usd,joint_usd,spot_only_usd,as_only_usd
0,284.73399179781325,609.9361682622629,585.1095016670231,24.826666595240468
1,300.5999327344685,583.8958348950467,557.3125014495839,26.58333344546154
2,227.61262670805903,491.20574893211904,481.0844989490511,10.12124998306855
3,290.54414067068353,847.5817248413747,795.9270025126165,51.65472232876032
4,237.0168222943408,479.45942212538137,446.6565055084219,32.80291661695896
5,211.86938661034836,509.1338304978413,495.3154971551887,13.818333342652746
6,232.40266853369604,362.0697463814884,351.4759963941568,10.593749987330902
7,307.1249806209492,495.8251654159216,443.9109988403318,51.91416657558935
8,173.29286469034298,448.66949514851666,429.9744951438932,18.695000004625566
9,102.54771114175085,394.383413202667,379.3679965209978,15.015416681670242
10,264.93597036460335,466.3554967471035,379.3679965209978,86.9875002261068
11,129.8455282184056,398.0554965012651,379.3679965209978,18.687499980268388
12,214.95911944352972,233.2549574411024,213.7616241343367,19.49333330676577
13,288.62261984856525,300.9126247346727,280.662208051503,20.250416683169693
14,138.37556502048443,413.0646642622174,397.07758093397035,15.98708332824827
