episode,ep_start,tempdrl_total,tempdrl_spot,tempdrl_as,tempdrl_degrad,tempdrl_clips,dah_total,dah_spot,dah_as,dah_degrad,dah_cycles
0,0,241.66,129.21,155.19,-42.74,0,223.62,0.0,223.62,0.0,0.0
1,288,217.44,201.84,73.7,-58.09,0,223.62,0.0,223.62,0.0,0.0
2,576,160.04,81.16,116.98,-38.1,0,223.62,0.0,223.62,0.0,0.0
3,864,128.27,148.48,40.55,-60.76,0,223.62,0.0,223.62,0.0,0.0
4,1152,162.02,63.39,128.48,-29.86,0,223.62,0.0,223.62,0.0,0.0
5,1440,159.29,74.06,123.81,-38.58,0,223.62,0.0,223.62,0.0,0.0
6,1728,146.95,57.62,129.87,-40.53,0,223.62,0.0,223.62,0.0,0.0
7,2016,194.3,148.46,94.91,-49.07,0,223.62,0.0,223.62,0.0,0.0
8,2304,165.52,14.72,162.38,-11.58,0,223.62,0.0,223.62,0.0,0.0
9,2592,174.8,19.85,178.53,-23.58,0,223.62,0.0,223.62,0.0,0.0
10,2880,31.9,-22.23,109.96,-55.83,0,223.62,0.0,223.62,0.0,0.0
11,3168,153.88,-23.46,184.93,-7.6,0,223.62,0.0,223.62,0.0,0.0
12,3456,131.74,47.64,124.05,-39.96,0,223.62,0.0,223.62,0.0,0.0
13,3744,140.48,98.5,96.9,-54.92,0,223.62,0.0,223.62,0.0,0.0
14,4032,53.72,10.74,98.5,-55.52,0,223.62,0.0,223.62,0.0,0.0
